,Comp,Pos,Neu,Neg
count,27.0,27.0,27.0,27.0
mean,0.32118148148148157,0.0944814814814815,0.8911851851851854,0.014370370370370368
std,0.350068835029997,0.07953826866569438,0.08392535008842315,0.032420492270912836
min,-0.4956,0.0,0.719,0.0
25%,0.064,0.0455,0.845,0.0
50%,0.2846,0.073,0.903,0.0
75%,0.6597,0.134,0.9544999999999999,0.0
max,0.8715,0.281,1.0,0.138
