,Comp,Pos,Neu,Neg
count,100.0,100.0,100.0,100.0
mean,0.189215,0.11367999999999996,0.8421000000000001,0.044219999999999995
std,0.3948080583068695,0.13252206829754282,0.14273967970265367,0.08435489962597956
min,-0.8885,0.0,0.435,0.0
25%,0.0,0.0,0.734,0.0
50%,0.08995,0.0715,0.8634999999999999,0.0
75%,0.4588,0.198,1.0,0.07125
max,0.9217,0.529,1.0,0.382
