,Comp,Pos,Neu,Neg
count,100.0,100.0,100.0,100.0
mean,0.19860199999999995,0.14975000000000002,0.80659,0.04367000000000001
std,0.4332383224466224,0.1483535481629113,0.14435982645788092,0.09489111835906645
min,-0.838,0.0,0.435,0.0
25%,0.0,0.0,0.68775,0.0
50%,0.2023,0.1135,0.8175,0.0
75%,0.561025,0.26625,0.92325,0.0
max,0.9001,0.565,1.0,0.398
