,Comp,Pos,Neu,Neg
count,100.0,100.0,100.0,100.0
mean,0.1878559999999999,0.1164,0.8384199999999998,0.04517
std,0.4227310899473575,0.11523756752768159,0.1302028859709012,0.0879931189917656
min,-0.838,0.0,0.495,0.0
25%,0.0,0.0,0.7605,0.0
50%,0.2023,0.0905,0.8454999999999999,0.0
75%,0.4939,0.18675,0.93475,0.055
max,0.9459,0.397,1.0,0.405
