,Comp,Pos,Neu,Neg
count,100.0,100.0,100.0,100.0
mean,0.32633500000000004,0.11213000000000001,0.8692299999999998,0.01865
std,0.3609856309222338,0.10084107458388329,0.10473495697292858,0.04395093108722897
min,-0.5994,0.0,0.625,0.0
25%,0.0,0.0,0.795,0.0
50%,0.3217,0.096,0.8825000000000001,0.0
75%,0.6369,0.183,0.9664999999999999,0.0
max,0.9556,0.375,1.0,0.246
