Date,AAPL,SMSN.IL,TSLA,AMZN,MSFT,BTC,ETH,DOGE,SOL,ADA
2022 Sept 01,0.1598333333333330,0.29188,0.1909827586206900,0.1510117647058820,0.2485217391304350,0.101014,0.4733,0.0746285714285714,0.118502,0.1347514285714290
2022 Sept 02,0.20774666666666700,0.282997,0.049070588235294100,0.09880689655172410,0.09392352941176470,0.07555000000000000,0,0.2306761904761910,0.13190750000000000,0.12715000000000000
2022 Sept 03,0.12316,0.2856200000000000,0.25839,0.12077391304347800,0.23786000000000000,0.1478050632911390,-0.11235,0.3898333333333330,0.24306363636363600,0.16168333333333300
2022 Sept 04,0.22981538461538500,0.2226350000000000,0.40476666666666700,0.4882700000000000,0.39232500000000000,0.07601232876712330,0,0.40050000000000000,0.08182222222222220,0.17243
2022 Sept 05,0.22981538461538500,0.2256230000000000,0.40476666666666700,0.4882700000000000,0.39232500000000000,0.07601232876712330,0,0.40050000000000000,0.08182222222222220,0.17243
2022 Sept 05,0.3084181818181820,0.36495000000000000,0.2532357142857140,0.06844444444444440,0.1362181818181820,-0.0152,0,0.10242500000000000,0.11246774193548400,0.0899939393939394
2022 Sept 06,0.21727435897435900,0,0.233658064516129,0,0,0.05619800000000000,-0.11235,0.07394117647058830,0.08596666666666670,0.04189166666666670
2022 Sept 07,0.221208,0.34245600000000000,0.22102380952381000,0.3291428571428570,0.4033944444444450,0.06696600000000000,0,0.0681103448275862,0.15472978723404300,0.05065714285714280
2022 Sept 08,0.2519948717948720,0.336385,0.3282842105263160,0.2509,0.187525,0.12978,0,-0.0031264705882353000,0.15935769230769200,0.2725230769230770
2022 Sept 09,0.19414358974359000,0.22055300000000000,0.2037964285714290,0.3883125000000000,0.2854681818181820,0.189141,0.431,0.12927500000000000,0.12820434782608700,0.21490357142857100
2022 Sept 10,0.19387600000000000,0.215153,0.19281891891891900,0.3243764705882350,0.2489363636363640,0.16852900000000000,0.4462333333333330,0.1636909090909090,0.12357049180327900,0.1457872727272730
2022 Sept 11,0.31805714285714300,0.2650528735632190,-0.007949999999999990,0.22660000000000000,0.3164833333333330,0.14194000000000000,0.203847283478283,0.172448356148584,0.194247275577528,0.184627163748503
2022 Sept 12,0.12156666666666700,0.280454,0.07122272727272730,0,0.26682413793103500,0.195813,0.6597,0.18076086956521700,0.2881340425531920,0.26699393939393900
2022 Sept 13,0.052745098039215700,0.36417600000000000,0.1323969696969700,0.10247560975609800,0.13353333333333300,0.15076500000000000,-0.0258,0.24967058823529400,0,0.21412
2022 Sept 14,0.09764772727272730,0.3567090000000000,0.14903225806451600,0.10963111111111100,0.13604444444444400,0.11578700000000000,0.2023,0.09696666666666670,0.2872296875000000,0.14331000000000000
2022 Sept 15,0.21271333333333300,0,0.1902529411764710,0.21463333333333300,0.10719310344827600,0.08027500000000000,0.6099666666666670,0.2262485714285710,0.19691875,0.19609655172413800
2022 Sept 16,0.09249333333333330,0.2566260000000000,0.11028400000000000,0.04409705882352940,0,-0.01627900000000000,0.08533333333333330,0.24621875,0.1444,0.2658514285714290
2022 Sept 17,0.06298750000000000,0.3085290000000000,0.07904000000000000,0.09044666666666670,0.05382222222222220,0.1262154639175260,0,0.13412500000000000,-0.013233333333333300,0.11474166666666700
2022 Sept 18,0.06993000000000000,0.2676966292134830,-0.03045714285714290,0.06171666666666670,0.23768000000000000,0.18497600000000000,0.6077,0.4345615384615390,0.13568181818181800,0.10277692307692300
2022 Sept 19,0.3120961538461540,0.27412000000000000,0.17064814814814800,0.34592000000000000,0.31559545454545500,0.073974,0.5045000000000000,-0.05621578947368420,0.11562727272727300,0.01889666666666670
2022 Sept 20,0.1240137931034480,0.17930800000000000,0.17403333333333300,0.3043666666666670,0.30978666666666700,0.09183100000000000,0,0.11569655172413800,0.11895897435897400,0.0567273728747278
