,Comp,Pos,Neu,Neg
count,100.0,100.0,100.0,100.0
mean,0.185023,0.10790999999999999,0.8492099999999998,0.04285
std,0.3681082742711292,0.12762358597441806,0.14354482599768992,0.0845365708920217
min,-0.7783,0.0,0.478,0.0
25%,0.0,0.0,0.756,0.0
50%,0.064,0.066,0.8665,0.0
75%,0.46295,0.19025,1.0,0.07125
max,0.8074,0.522,1.0,0.405
