,Comp,Pos,Neu,Neg
count,100.0,100.0,100.0,100.0
mean,0.098994,0.07471,0.89145,0.03384
std,0.3261520643113355,0.10690818254441281,0.11864013790969861,0.07281493353327013
min,-0.7717,0.0,0.439,0.0
25%,0.0,0.0,0.828,0.0
50%,0.0,0.0,0.904,0.0
75%,0.34530000000000005,0.13075,1.0,0.04675
max,0.802,0.561,1.0,0.385
