,Comp,Pos,Neu,Neg
count,100.0,100.0,100.0,100.0
mean,0.05800100000000001,0.07583000000000002,0.8713500000000001,0.05278000000000001
std,0.3694224029714112,0.08229118722530072,0.10470751711989995,0.06978141629836748
min,-0.8834,0.0,0.559,0.0
25%,-0.109025,0.0,0.795,0.0
50%,0.0,0.0665,0.8865000000000001,0.0
75%,0.307,0.11625,0.95475,0.09275
max,0.802,0.34,1.0,0.278
