,Comp,Pos,Neu,Neg
count,100.0,100.0,100.0,100.0
mean,0.12902499999999992,0.08633,0.8699199999999999,0.043739999999999994
std,0.36092215461497956,0.10242317199548233,0.11682687528081366,0.07439990496355396
min,-0.8519,0.0,0.548,0.0
25%,0.0,0.0,0.8125,0.0
50%,0.1026,0.07150000000000001,0.877,0.0
75%,0.38389999999999996,0.134,1.0,0.07075000000000001
max,0.9349,0.452,1.0,0.383
